loan_id,borrower_name,property_state,principal_balance,interest_rate,origination_date,maturity_date
LN_CLN_42,Borrower 42,CA,245606,4.00,2024-01-01,2054-01-01
LN_CLN_43,Borrower 43,CA,484777,9.20,2024-01-01,2054-01-01
LN_CLN_44,Borrower 44,CA,234231,9.30,2024-01-01,2054-01-01
LN_CLN_45,Borrower 45,CA,72283,7.80,2024-01-01,2054-01-01
LN_CLN_46,Borrower 46,CA,333020,1.90,2024-01-01,2054-01-01
LN_CLN_47,Borrower 47,CA,486221,5.50,2024-01-01,2054-01-01
LN_CLN_48,Borrower 48,CA,115980,8.90,2024-01-01,2054-01-01
LN_CLN_49,Borrower 49,CA,291391,2.70,2024-01-01,2054-01-01
LN_CLN_50,Borrower 50,CA,146300,8.20,2024-01-01,2054-01-01
LN_CLN_51,Borrower 51,CA,497718,9.50,2024-01-01,2054-01-01
LN_CLN_52,Borrower 52,CA,261415,9.90,2024-01-01,2054-01-01
LN_CLN_53,Borrower 53,CA,74897,8.30,2024-01-01,2054-01-01
LN_CLN_54,Borrower 54,CA,230203,9.40,2024-01-01,2054-01-01
LN_CLN_55,Borrower 55,CA,89086,7.00,2024-01-01,2054-01-01
LN_CLN_56,Borrower 56,CA,250900,9.80,2024-01-01,2054-01-01
LN_CLN_57,Borrower 57,CA,308652,1.30,2024-01-01,2054-01-01
LN_CLN_58,Borrower 58,CA,341416,8.90,2024-01-01,2054-01-01
LN_CLN_59,Borrower 59,CA,330858,7.60,2024-01-01,2054-01-01
LN_CLN_60,Borrower 60,CA,65737,5.50,2024-01-01,2054-01-01
LN_CLN_61,Borrower 61,CA,202038,3.40,2024-01-01,2054-01-01
LN_CLN_62,Borrower 62,CA,185755,6.10,2024-01-01,2054-01-01
LN_CLN_63,Borrower 63,CA,297737,6.60,2024-01-01,2054-01-01
LN_CLN_64,Borrower 64,CA,468074,1.90,2024-01-01,2054-01-01
LN_CLN_65,Borrower 65,CA,359610,5.90,2024-01-01,2054-01-01
LN_CLN_66,Borrower 66,CA,214854,3.00,2024-01-01,2054-01-01
LN_CLN_67,Borrower 67,CA,467493,5.20,2024-01-01,2054-01-01
LN_CLN_68,Borrower 68,CA,285498,3.10,2024-01-01,2054-01-01
LN_CLN_69,Borrower 69,CA,65700,5.00,2024-01-01,2054-01-01
LN_CLN_70,Borrower 70,CA,259297,7.60,2024-01-01,2054-01-01
LN_CLN_71,Borrower 71,CA,111574,4.40,2024-01-01,2054-01-01
LN_CLN_72,Borrower 72,CA,99800,8.60,2024-01-01,2054-01-01
LN_CLN_73,Borrower 73,CA,174005,9.70,2024-01-01,2054-01-01
LN_CLN_74,Borrower 74,CA,232982,1.30,2024-01-01,2054-01-01
LN_CLN_75,Borrower 75,CA,348009,7.40,2024-01-01,2054-01-01
LN_CLN_76,Borrower 76,CA,260876,6.50,2024-01-01,2054-01-01
LN_CLN_77,Borrower 77,CA,152602,8.10,2024-01-01,2054-01-01
LN_CLN_78,Borrower 78,CA,64643,8.80,2024-01-01,2054-01-01
LN_CLN_79,Borrower 79,CA,148830,7.90,2024-01-01,2054-01-01
LN_CLN_80,Borrower 80,CA,78768,2.30,2024-01-01,2054-01-01
LN_CLN_81,Borrower 81,CA,268973,7.50,2024-01-01,2054-01-01
LN_CLN_82,Borrower 82,CA,313086,4.30,2024-01-01,2054-01-01
LN_CLN_83,Borrower 83,CA,214770,4.80,2024-01-01,2054-01-01
LN_CLN_84,Borrower 84,CA,482513,7.70,2024-01-01,2054-01-01
LN_CLN_85,Borrower 85,CA,415333,4.20,2024-01-01,2054-01-01
LN_CLN_86,Borrower 86,CA,322317,5.90,2024-01-01,2054-01-01
LN_CLN_87,Borrower 87,CA,153709,5.30,2024-01-01,2054-01-01
LN_CLN_88,Borrower 88,CA,457689,6.10,2024-01-01,2054-01-01
LN_CLN_89,Borrower 89,CA,340612,9.30,2024-01-01,2054-01-01
LN_CLN_90,Borrower 90,CA,332030,6.60,2024-01-01,2054-01-01
LN_CLN_91,Borrower 91,CA,75051,5.00,2024-01-01,2054-01-01
LN_CLN_92,Borrower 92,CA,397658,8.60,2024-01-01,2054-01-01
LN_CLN_93,Borrower 93,CA,297874,8.60,2024-01-01,2054-01-01
LN_CLN_94,Borrower 94,CA,263882,4.40,2024-01-01,2054-01-01
LN_CLN_95,Borrower 95,CA,372905,8.40,2024-01-01,2054-01-01
LN_CLN_96,Borrower 96,CA,477991,7.20,2024-01-01,2054-01-01
LN_CLN_97,Borrower 97,CA,479203,3.60,2024-01-01,2054-01-01
LN_CLN_98,Borrower 98,CA,439283,4.70,2024-01-01,2054-01-01
LN_CLN_99,Borrower 99,CA,313782,7.90,2024-01-01,2054-01-01
LN_CLN_100,Borrower 100,CA,132010,6.10,2024-01-01,2054-01-01
LN_CLN_101,Borrower 101,CA,128188,4.60,2024-01-01,2054-01-01
LN_CLN_102,Borrower 102,CA,256093,2.70,2024-01-01,2054-01-01
LN_CLN_103,Borrower 103,CA,408467,9.90,2024-01-01,2054-01-01
LN_CLN_104,Borrower 104,CA,334253,2.50,2024-01-01,2054-01-01
LN_CLN_105,Borrower 105,CA,340816,6.70,2024-01-01,2054-01-01
LN_CLN_106,Borrower 106,CA,301465,6.00,2024-01-01,2054-01-01
LN_CLN_107,Borrower 107,CA,159591,7.30,2024-01-01,2054-01-01
LN_CLN_108,Borrower 108,CA,139601,8.40,2024-01-01,2054-01-01
LN_CLN_109,Borrower 109,CA,57818,7.60,2024-01-01,2054-01-01
LN_CLN_110,Borrower 110,CA,216854,7.60,2024-01-01,2054-01-01
LN_CLN_111,Borrower 111,CA,246540,5.70,2024-01-01,2054-01-01
LN_CLN_112,Borrower 112,CA,125602,2.60,2024-01-01,2054-01-01
LN_CLN_113,Borrower 113,CA,387718,6.70,2024-01-01,2054-01-01
LN_CLN_114,Borrower 114,CA,412426,3.60,2024-01-01,2054-01-01
LN_CLN_115,Borrower 115,CA,399212,5.10,2024-01-01,2054-01-01
LN_CLN_116,Borrower 116,CA,368923,8.10,2024-01-01,2054-01-01
LN_CLN_117,Borrower 117,CA,70626,7.20,2024-01-01,2054-01-01
LN_CLN_118,Borrower 118,CA,380567,5.20,2024-01-01,2054-01-01
LN_CLN_119,Borrower 119,CA,184283,9.70,2024-01-01,2054-01-01
LN_CLN_120,Borrower 120,CA,286085,7.30,2024-01-01,2054-01-01
LN_CLN_121,Borrower 121,CA,84622,8.80,2024-01-01,2054-01-01
LN_CLN_122,Borrower 122,CA,244585,1.30,2024-01-01,2054-01-01
LN_CLN_123,Borrower 123,CA,334504,6.00,2024-01-01,2054-01-01
LN_CLN_124,Borrower 124,CA,82184,8.60,2024-01-01,2054-01-01
LN_CLN_125,Borrower 125,CA,215338,5.60,2024-01-01,2054-01-01
LN_CLN_126,Borrower 126,CA,271756,4.00,2024-01-01,2054-01-01
LN_CLN_127,Borrower 127,CA,329813,5.70,2024-01-01,2054-01-01
LN_CLN_128,Borrower 128,CA,289926,4.90,2024-01-01,2054-01-01
LN_CLN_129,Borrower 129,CA,436606,3.20,2024-01-01,2054-01-01
LN_CLN_130,Borrower 130,CA,275397,6.10,2024-01-01,2054-01-01
LN_CLN_131,Borrower 131,CA,145872,6.20,2024-01-01,2054-01-01
LN_CLN_132,Borrower 132,CA,334948,1.40,2024-01-01,2054-01-01
LN_CLN_133,Borrower 133,CA,56752,5.90,2024-01-01,2054-01-01
LN_CLN_134,Borrower 134,CA,442740,3.70,2024-01-01,2054-01-01
LN_CLN_135,Borrower 135,CA,345341,1.80,2024-01-01,2054-01-01
LN_CLN_136,Borrower 136,CA,491465,4.40,2024-01-01,2054-01-01
LN_CLN_137,Borrower 137,CA,315651,9.10,2024-01-01,2054-01-01
LN_CLN_138,Borrower 138,CA,436811,2.00,2024-01-01,2054-01-01
LN_CLN_139,Borrower 139,CA,325692,5.10,2024-01-01,2054-01-01
LN_CLN_140,Borrower 140,CA,444109,6.50,2024-01-01,2054-01-01
LN_CLN_141,Borrower 141,CA,444444,5.30,2024-01-01,2054-01-01
LN_CLN_142,Borrower 142,CA,118734,4.60,2024-01-01,2054-01-01
LN_CLN_143,Borrower 143,CA,369748,2.50,2024-01-01,2054-01-01
LN_CLN_144,Borrower 144,CA,392607,4.10,2024-01-01,2054-01-01
LN_CLN_145,Borrower 145,CA,80134,4.30,2024-01-01,2054-01-01
LN_CLN_146,Borrower 146,CA,126864,3.30,2024-01-01,2054-01-01
LN_CLN_147,Borrower 147,CA,112433,7.00,2024-01-01,2054-01-01
LN_CLN_148,Borrower 148,CA,479106,7.60,2024-01-01,2054-01-01
LN_CLN_149,Borrower 149,CA,343099,5.70,2024-01-01,2054-01-01
LN_CLN_150,Borrower 150,CA,446880,1.20,2024-01-01,2054-01-01
LN_CLN_151,Borrower 151,CA,99456,10.00,2024-01-01,2054-01-01
LN_CLN_152,Borrower 152,CA,279941,8.40,2024-01-01,2054-01-01
LN_CLN_153,Borrower 153,CA,205719,5.90,2024-01-01,2054-01-01
LN_CLN_154,Borrower 154,CA,496959,8.70,2024-01-01,2054-01-01
LN_CLN_155,Borrower 155,CA,285544,1.70,2024-01-01,2054-01-01
LN_CLN_156,Borrower 156,CA,298849,9.90,2024-01-01,2054-01-01
LN_CLN_157,Borrower 157,CA,203919,2.50,2024-01-01,2054-01-01
LN_CLN_158,Borrower 158,CA,444117,1.90,2024-01-01,2054-01-01
LN_CLN_159,Borrower 159,CA,65208,5.90,2024-01-01,2054-01-01
LN_CLN_160,Borrower 160,CA,59222,10.00,2024-01-01,2054-01-01
LN_CLN_161,Borrower 161,CA,303074,1.60,2024-01-01,2054-01-01
LN_CLN_162,Borrower 162,CA,362724,3.60,2024-01-01,2054-01-01
LN_CLN_163,Borrower 163,CA,473031,3.70,2024-01-01,2054-01-01
LN_CLN_164,Borrower 164,CA,499218,4.50,2024-01-01,2054-01-01
LN_CLN_165,Borrower 165,CA,141463,5.60,2024-01-01,2054-01-01
LN_CLN_166,Borrower 166,CA,463803,1.00,2024-01-01,2054-01-01
LN_CLN_167,Borrower 167,CA,328811,3.70,2024-01-01,2054-01-01
LN_CLN_168,Borrower 168,CA,220209,4.30,2024-01-01,2054-01-01
LN_CLN_169,Borrower 169,CA,60532,8.20,2024-01-01,2054-01-01
LN_CLN_170,Borrower 170,CA,399643,9.00,2024-01-01,2054-01-01
LN_CLN_171,Borrower 171,CA,165513,4.20,2024-01-01,2054-01-01
LN_CLN_172,Borrower 172,CA,242104,7.00,2024-01-01,2054-01-01
LN_CLN_173,Borrower 173,CA,186305,3.20,2024-01-01,2054-01-01
LN_CLN_174,Borrower 174,CA,264078,1.50,2024-01-01,2054-01-01
LN_CLN_175,Borrower 175,CA,178226,2.30,2024-01-01,2054-01-01
LN_CLN_176,Borrower 176,CA,257203,1.40,2024-01-01,2054-01-01
LN_CLN_177,Borrower 177,CA,262919,4.40,2024-01-01,2054-01-01
LN_CLN_178,Borrower 178,CA,359610,2.20,2024-01-01,2054-01-01
LN_CLN_179,Borrower 179,CA,161682,4.20,2024-01-01,2054-01-01
LN_CLN_180,Borrower 180,CA,420757,4.00,2024-01-01,2054-01-01
LN_CLN_181,Borrower 181,CA,376786,1.40,2024-01-01,2054-01-01
LN_CLN_182,Borrower 182,CA,88069,1.10,2024-01-01,2054-01-01
LN_CLN_183,Borrower 183,CA,465189,5.80,2024-01-01,2054-01-01
LN_CLN_184,Borrower 184,CA,87061,4.20,2024-01-01,2054-01-01
LN_CLN_185,Borrower 185,CA,272141,7.80,2024-01-01,2054-01-01
LN_CLN_186,Borrower 186,CA,257569,5.90,2024-01-01,2054-01-01
LN_CLN_187,Borrower 187,CA,162664,8.30,2024-01-01,2054-01-01
LN_CLN_188,Borrower 188,CA,50094,4.20,2024-01-01,2054-01-01
LN_CLN_189,Borrower 189,CA,287716,7.20,2024-01-01,2054-01-01
LN_CLN_190,Borrower 190,CA,203400,3.50,2024-01-01,2054-01-01
LN_CLN_191,Borrower 191,CA,422886,6.80,2024-01-01,2054-01-01
LN_CLN_192,Borrower 192,CA,137635,9.00,2024-01-01,2054-01-01
LN_CLN_193,Borrower 193,CA,498144,3.40,2024-01-01,2054-01-01
LN_CLN_194,Borrower 194,CA,164767,2.30,2024-01-01,2054-01-01
LN_CLN_195,Borrower 195,CA,345495,9.30,2024-01-01,2054-01-01
LN_CLN_196,Borrower 196,CA,381431,7.20,2024-01-01,2054-01-01
LN_CLN_197,Borrower 197,CA,232173,9.90,2024-01-01,2054-01-01
LN_CLN_198,Borrower 198,CA,365663,1.90,2024-01-01,2054-01-01
LN_CLN_199,Borrower 199,CA,248158,4.80,2024-01-01,2054-01-01
LN_CLN_200,Borrower 200,CA,242672,7.40,2024-01-01,2054-01-01
LN_CLN_201,Borrower 201,CA,488782,5.90,2024-01-01,2054-01-01
LN_CLN_202,Borrower 202,CA,148291,9.50,2024-01-01,2054-01-01
LN_CLN_203,Borrower 203,CA,93197,7.00,2024-01-01,2054-01-01
LN_CLN_204,Borrower 204,CA,364271,9.10,2024-01-01,2054-01-01
LN_CLN_205,Borrower 205,CA,184131,7.80,2024-01-01,2054-01-01
LN_CLN_206,Borrower 206,CA,262204,4.40,2024-01-01,2054-01-01
LN_CLN_207,Borrower 207,CA,279071,1.60,2024-01-01,2054-01-01
LN_CLN_208,Borrower 208,CA,463681,5.90,2024-01-01,2054-01-01
LN_CLN_209,Borrower 209,CA,149510,4.10,2024-01-01,2054-01-01
LN_CLN_210,Borrower 210,CA,162885,1.30,2024-01-01,2054-01-01
LN_CLN_211,Borrower 211,CA,163209,2.20,2024-01-01,2054-01-01
LN_CLN_212,Borrower 212,CA,333547,7.70,2024-01-01,2054-01-01
LN_CLN_213,Borrower 213,CA,215513,1.00,2024-01-01,2054-01-01
LN_CLN_214,Borrower 214,CA,234161,3.70,2024-01-01,2054-01-01
LN_CLN_215,Borrower 215,CA,139833,3.70,2024-01-01,2054-01-01
LN_CLN_216,Borrower 216,CA,192056,3.30,2024-01-01,2054-01-01
LN_CLN_217,Borrower 217,CA,217280,4.70,2024-01-01,2054-01-01
LN_CLN_218,Borrower 218,CA,153049,2.50,2024-01-01,2054-01-01
LN_CLN_219,Borrower 219,CA,72503,2.40,2024-01-01,2054-01-01
LN_CLN_220,Borrower 220,CA,327743,6.60,2024-01-01,2054-01-01
LN_CLN_221,Borrower 221,CA,232831,7.40,2024-01-01,2054-01-01
LN_CLN_222,Borrower 222,CA,341792,1.50,2024-01-01,2054-01-01
LN_CLN_223,Borrower 223,CA,340755,3.40,2024-01-01,2054-01-01
LN_CLN_224,Borrower 224,CA,55783,4.40,2024-01-01,2054-01-01
LN_CLN_225,Borrower 225,CA,224918,4.50,2024-01-01,2054-01-01
LN_CLN_226,Borrower 226,CA,218380,3.80,2024-01-01,2054-01-01
LN_CLN_227,Borrower 227,CA,345246,6.90,2024-01-01,2054-01-01
LN_CLN_228,Borrower 228,CA,78566,5.00,2024-01-01,2054-01-01
LN_CLN_229,Borrower 229,CA,449072,1.90,2024-01-01,2054-01-01
LN_CLN_230,Borrower 230,CA,195600,2.30,2024-01-01,2054-01-01
LN_CLN_231,Borrower 231,CA,259601,1.30,2024-01-01,2054-01-01
LN_CLN_232,Borrower 232,CA,238032,1.10,2024-01-01,2054-01-01
LN_CLN_233,Borrower 233,CA,341806,8.20,2024-01-01,2054-01-01
LN_CLN_234,Borrower 234,CA,443663,4.20,2024-01-01,2054-01-01
LN_CLN_235,Borrower 235,CA,107785,1.60,2024-01-01,2054-01-01
LN_CLN_236,Borrower 236,CA,370754,4.20,2024-01-01,2054-01-01
LN_CLN_237,Borrower 237,CA,369014,10.00,2024-01-01,2054-01-01
LN_CLN_238,Borrower 238,CA,440476,4.90,2024-01-01,2054-01-01
LN_CLN_239,Borrower 239,CA,152545,6.10,2024-01-01,2054-01-01
LN_CLN_240,Borrower 240,CA,238389,6.50,2024-01-01,2054-01-01
LN_CLN_241,Borrower 241,CA,175063,5.40,2024-01-01,2054-01-01
LN_CLN_242,Borrower 242,CA,282194,6.40,2024-01-01,2054-01-01
LN_CLN_243,Borrower 243,CA,346954,1.20,2024-01-01,2054-01-01
LN_CLN_244,Borrower 244,CA,338408,9.50,2024-01-01,2054-01-01
LN_CLN_245,Borrower 245,CA,462038,1.80,2024-01-01,2054-01-01
LN_CLN_246,Borrower 246,CA,93237,6.70,2024-01-01,2054-01-01
LN_CLN_247,Borrower 247,CA,90535,7.30,2024-01-01,2054-01-01
LN_CLN_248,Borrower 248,CA,472838,7.70,2024-01-01,2054-01-01
LN_CLN_249,Borrower 249,CA,486461,8.70,2024-01-01,2054-01-01
LN_CLN_250,Borrower 250,CA,175932,7.20,2024-01-01,2054-01-01
LN_CLN_251,Borrower 251,CA,62632,7.10,2024-01-01,2054-01-01
LN_CLN_252,Borrower 252,CA,296862,4.00,2024-01-01,2054-01-01
LN_CLN_253,Borrower 253,CA,141746,1.10,2024-01-01,2054-01-01
LN_CLN_254,Borrower 254,CA,92926,7.60,2024-01-01,2054-01-01
LN_CLN_255,Borrower 255,CA,286105,9.10,2024-01-01,2054-01-01
LN_CLN_256,Borrower 256,CA,95358,4.10,2024-01-01,2054-01-01
LN_CLN_257,Borrower 257,CA,170368,9.30,2024-01-01,2054-01-01
LN_CLN_258,Borrower 258,CA,293588,6.60,2024-01-01,2054-01-01
LN_CLN_259,Borrower 259,CA,499447,8.40,2024-01-01,2054-01-01
LN_CLN_260,Borrower 260,CA,71943,1.00,2024-01-01,2054-01-01
LN_CLN_261,Borrower 261,CA,405681,8.40,2024-01-01,2054-01-01
LN_CLN_262,Borrower 262,CA,319066,7.80,2024-01-01,2054-01-01
LN_CLN_263,Borrower 263,CA,363457,8.30,2024-01-01,2054-01-01
LN_CLN_264,Borrower 264,CA,383562,9.90,2024-01-01,2054-01-01
LN_CLN_265,Borrower 265,CA,338787,4.60,2024-01-01,2054-01-01
LN_CLN_266,Borrower 266,CA,314003,8.20,2024-01-01,2054-01-01
LN_CLN_267,Borrower 267,CA,175727,6.40,2024-01-01,2054-01-01
LN_CLN_268,Borrower 268,CA,334830,4.80,2024-01-01,2054-01-01
LN_CLN_269,Borrower 269,CA,428357,2.50,2024-01-01,2054-01-01
LN_CLN_270,Borrower 270,CA,206591,4.80,2024-01-01,2054-01-01
LN_CLN_271,Borrower 271,CA,475006,6.70,2024-01-01,2054-01-01
LN_CLN_272,Borrower 272,CA,146393,8.60,2024-01-01,2054-01-01
LN_CLN_273,Borrower 273,CA,205321,2.00,2024-01-01,2054-01-01
LN_CLN_274,Borrower 274,CA,348446,5.00,2024-01-01,2054-01-01
LN_CLN_275,Borrower 275,CA,108354,2.90,2024-01-01,2054-01-01
LN_CLN_276,Borrower 276,CA,434459,9.70,2024-01-01,2054-01-01
LN_CLN_277,Borrower 277,CA,284934,1.30,2024-01-01,2054-01-01
LN_CLN_278,Borrower 278,CA,375475,1.50,2024-01-01,2054-01-01
LN_CLN_279,Borrower 279,CA,156535,1.10,2024-01-01,2054-01-01
LN_CLN_280,Borrower 280,CA,264455,4.50,2024-01-01,2054-01-01
LN_CLN_281,Borrower 281,CA,77575,4.00,2024-01-01,2054-01-01
LN_CLN_282,Borrower 282,CA,376776,3.40,2024-01-01,2054-01-01
LN_CLN_283,Borrower 283,CA,349654,4.70,2024-01-01,2054-01-01
LN_CLN_284,Borrower 284,CA,378212,3.10,2024-01-01,2054-01-01
LN_CLN_285,Borrower 285,CA,312145,8.80,2024-01-01,2054-01-01
LN_CLN_286,Borrower 286,CA,55246,4.10,2024-01-01,2054-01-01
LN_CLN_287,Borrower 287,CA,460005,3.20,2024-01-01,2054-01-01
LN_CLN_288,Borrower 288,CA,251358,8.00,2024-01-01,2054-01-01
LN_CLN_289,Borrower 289,CA,131908,6.70,2024-01-01,2054-01-01
LN_CLN_290,Borrower 290,CA,242487,8.00,2024-01-01,2054-01-01
LN_CLN_291,Borrower 291,CA,125135,7.70,2024-01-01,2054-01-01
LN_CLN_292,Borrower 292,CA,214067,1.70,2024-01-01,2054-01-01
LN_CLN_293,Borrower 293,CA,112300,7.40,2024-01-01,2054-01-01
LN_CLN_294,Borrower 294,CA,163765,7.20,2024-01-01,2054-01-01
LN_CLN_295,Borrower 295,CA,464103,2.70,2024-01-01,2054-01-01
LN_CLN_296,Borrower 296,CA,239044,1.70,2024-01-01,2054-01-01
LN_CLN_297,Borrower 297,CA,62847,7.60,2024-01-01,2054-01-01
LN_CLN_298,Borrower 298,CA,141281,2.90,2024-01-01,2054-01-01
LN_CLN_299,Borrower 299,CA,420731,9.10,2024-01-01,2054-01-01
LN_CLN_300,Borrower 300,CA,316628,7.50,2024-01-01,2054-01-01
LN_CLN_301,Borrower 301,CA,120391,1.60,2024-01-01,2054-01-01
LN_CLN_302,Borrower 302,CA,257486,7.50,2024-01-01,2054-01-01
LN_CLN_303,Borrower 303,CA,160875,3.10,2024-01-01,2054-01-01
LN_CLN_304,Borrower 304,CA,258791,7.20,2024-01-01,2054-01-01
LN_CLN_305,Borrower 305,CA,349251,3.50,2024-01-01,2054-01-01
LN_CLN_306,Borrower 306,CA,108162,8.50,2024-01-01,2054-01-01
LN_CLN_307,Borrower 307,CA,127147,8.20,2024-01-01,2054-01-01
LN_CLN_308,Borrower 308,CA,275217,6.50,2024-01-01,2054-01-01
LN_CLN_309,Borrower 309,CA,203477,7.70,2024-01-01,2054-01-01
LN_CLN_310,Borrower 310,CA,332785,2.90,2024-01-01,2054-01-01
LN_CLN_311,Borrower 311,CA,479869,4.30,2024-01-01,2054-01-01
LN_CLN_312,Borrower 312,CA,216078,2.50,2024-01-01,2054-01-01
LN_CLN_313,Borrower 313,CA,179451,4.90,2024-01-01,2054-01-01
LN_CLN_314,Borrower 314,CA,146715,6.30,2024-01-01,2054-01-01
LN_CLN_315,Borrower 315,CA,300215,6.20,2024-01-01,2054-01-01
LN_CLN_316,Borrower 316,CA,175462,2.40,2024-01-01,2054-01-01
LN_CLN_317,Borrower 317,CA,146180,2.70,2024-01-01,2054-01-01
LN_CLN_318,Borrower 318,CA,252438,2.20,2024-01-01,2054-01-01
LN_CLN_319,Borrower 319,CA,439374,3.20,2024-01-01,2054-01-01
LN_CLN_320,Borrower 320,CA,243534,6.30,2024-01-01,2054-01-01
LN_CLN_321,Borrower 321,CA,115716,6.50,2024-01-01,2054-01-01
LN_CLN_322,Borrower 322,CA,271430,4.60,2024-01-01,2054-01-01
LN_CLN_323,Borrower 323,CA,210394,3.60,2024-01-01,2054-01-01
LN_CLN_324,Borrower 324,CA,439281,2.60,2024-01-01,2054-01-01
LN_CLN_325,Borrower 325,CA,283474,9.60,2024-01-01,2054-01-01
LN_CLN_326,Borrower 326,CA,400784,4.90,2024-01-01,2054-01-01
LN_CLN_327,Borrower 327,CA,124337,6.00,2024-01-01,2054-01-01
LN_CLN_328,Borrower 328,CA,123093,9.60,2024-01-01,2054-01-01
LN_CLN_329,Borrower 329,CA,331098,8.20,2024-01-01,2054-01-01
LN_CLN_330,Borrower 330,CA,141960,1.40,2024-01-01,2054-01-01
LN_CLN_331,Borrower 331,CA,415071,4.70,2024-01-01,2054-01-01
LN_CLN_332,Borrower 332,CA,259840,6.50,2024-01-01,2054-01-01
LN_CLN_333,Borrower 333,CA,227942,1.10,2024-01-01,2054-01-01
LN_CLN_334,Borrower 334,CA,129151,2.40,2024-01-01,2054-01-01
LN_CLN_335,Borrower 335,CA,330165,9.60,2024-01-01,2054-01-01
LN_CLN_336,Borrower 336,CA,70609,2.60,2024-01-01,2054-01-01
LN_CLN_337,Borrower 337,CA,346879,5.70,2024-01-01,2054-01-01
LN_CLN_338,Borrower 338,CA,280471,1.50,2024-01-01,2054-01-01
LN_CLN_339,Borrower 339,CA,346774,2.80,2024-01-01,2054-01-01
LN_CLN_340,Borrower 340,CA,208000,9.40,2024-01-01,2054-01-01
LN_CLN_341,Borrower 341,CA,369279,7.00,2024-01-01,2054-01-01
LN_CLN_342,Borrower 342,CA,398783,8.90,2024-01-01,2054-01-01
LN_CLN_343,Borrower 343,CA,264274,9.30,2024-01-01,2054-01-01
LN_CLN_344,Borrower 344,CA,248585,1.60,2024-01-01,2054-01-01
LN_CLN_345,Borrower 345,CA,173477,2.70,2024-01-01,2054-01-01
LN_CLN_346,Borrower 346,CA,374957,3.00,2024-01-01,2054-01-01
LN_CLN_347,Borrower 347,CA,422550,4.20,2024-01-01,2054-01-01
LN_CLN_348,Borrower 348,CA,234019,3.50,2024-01-01,2054-01-01
