loan_id,borrower_name,property_state,principal_balance,interest_rate,origination_date,maturity_date
LN_MAL_87,Misc 87,CA,-26,45,2024-01-01,2020-01-01
LN_MAL_88,Misc 88,CA,-42,45,2024-01-01,2020-01-01
LN_MAL_89,Misc 89,CA,-21,45,2024-01-01,2020-01-01
LN_MAL_90,Misc 90,CA,-37,45,2024-01-01,2020-01-01
LN_MAL_91,Misc 91,CA,-18,45,2024-01-01,2020-01-01
LN_MAL_92,Misc 92,CA,-64,45,2024-01-01,2020-01-01
LN_MAL_93,Misc 93,CA,-41,45,2024-01-01,2020-01-01
LN_MAL_94,Misc 94,CA,-43,45,2024-01-01,2020-01-01
LN_MAL_95,Misc 95,CA,-64,45,2024-01-01,2020-01-01
LN_MAL_96,Misc 96,CA,-35,45,2024-01-01,2020-01-01
LN_MAL_97,Misc 97,CA,-100,45,2024-01-01,2020-01-01
LN_MAL_98,Misc 98,CA,-16,45,2024-01-01,2020-01-01
LN_MAL_99,Misc 99,CA,-40,45,2024-01-01,2020-01-01
LN_MAL_100,Misc 100,CA,-94,45,2024-01-01,2020-01-01
