loan_id,borrower_name,origination_date,maturity_date,principal_balance,current_balance,interest_rate,monthly_payment,loan_status,property_type,property_state,ltv_ratio,credit_score,zip_code
LN-100028,Matthew Gonzalez,05/24/2018,05/24/2040,182000,152880,7.4,1623,90+ Days Delinquent,Commercial,WI,66,639,59091
LN-100029,Karen Clark,05/22/2019,05/22/2040,193000,129310,-4.46,3547,Default,Multi Family,WA,59,683,72008
LN-100030,Michael Lee,07/09/2023,07/09/2047,526000,483920,6.73,4198,Paid Off,Single Family,OK,71,817,90035
LN-100031,William Davis,02/11/2020,02/11/2048,151000,128350,7.63,1906,Current,Townhouse,AL,80,690,61538
LN-100032,Emily Gonzalez,02/14/2022,02/14/2039,-795000,659850,5.92,3871,30 Days Delinquent,Multi Family,SC,92,755,87606
LN-100033,Karen White,01/24/2021,01/24/2049,619000,550910,5.66,1761,60 Days Delinquent,Commercial,TX,75,785,37108
LN-100034,Barbara Jackson,09/06/2023,09/06/2048,181000,159280,7.69,3940,Current,Single Family,IL,60,720,98096
LN-100035,Lisa Anderson,07/25/2019,07/25/2049,735000,690900,3.37,3382,Current,Townhouse,OR,95,791,45281
LN-100036,Lisa Rodriguez,05/03/2020,05/03/2049,280000,193200,5.7,4146,60 Days Delinquent,Commercial,OH,58,816,15303
LN-100037,John Lee,09/25/2023,09/25/2048,349000,342020,3.99,2861,Current,Condo,MO,69,712,20497
LN-100038,Elizabeth Wilson,08/05/2018,08/05/2046,270000,216000,6.76,3830,Default,Multi Family,IN,69,707,38577
LN-100039,Emily Johnson,05/15/2020,05/15/2046,619000,501390,30.81,1351,30 Days Delinquent,Townhouse,TN,74,745,20470
LN-100040,Sandra Johnson,01/21/2023,01/21/2049,555000,338550,4.97,1201,30 Days Delinquent,Commercial,texas,81,651,90967
LN-100041,Joseph Thompson,06/06/2019,06/06/2045,-452000,271200,4.08,3894,Default,Commercial,WA,68,729,97680
LN-100042,Margaret Garcia,11/05/2020,11/05/2046,680000,632400,5.9,2573,90+ Days Delinquent,Townhouse,MD,60,753,23470
LN-100043,Jennifer Clark,08/05/2019,08/05/2049,524000,403480,5.9,3227,60 Days Delinquent,Single Family,XX,77,680,58390
LN-100044,Mary Moore,08/09/2018,08/09/2013,759000,645150,7.66,3599,Paid Off,Single Family,TN,75,778,73213
LN-100045,Anthony Harris,03/16/2018,03/16/2045,-615000,418200,6.68,3574,30 Days Delinquent,Multi Family,MA,69,622,72481
LN-100046,Christopher White,07/24/2021,07/24/2042,452000,397760,6.84,4329,Default,Townhouse,MO,84,668,65089
LN-100047,Thomas Lewis,10/06/2022,10/06/2017,491000,397710,6.66,4221,90+ Days Delinquent,Townhouse,SC,91,716,78751
LN-100048,Lisa Lopez,02/25/2022,02/25/2040,214000,207580,-5.06,3502,30 Days Delinquent,Commercial,TX,72,788,49655
,Steven Smith,05/05/2021,05/05/2042,778000,497920,7.59,3643,60 Days Delinquent,Condo,LA,71,705,29943
LN-100050,Betty Brown,05/12/2019,05/12/2035,485000,407400,7.03,2560,60 Days Delinquent,Condo,AZ,64,637,58883
LN-100051,Richard White,07/27/2019,07/27/2040,291000,267720,3.87,1245,90+ Days Delinquent,Multi Family,GA,86,731,45002
LN-100052,,11/23/2018,11/23/2036,415000,282200,4.03,2889,Paid Off,Multi Family,IN,68,707,30082
LN-100053,Emily Lee,01/05/2022,01/05/2041,610000,469700,-5,1646,30 Days Delinquent,Townhouse,CO,70,641,47186
LN-100054,Margaret Williams,06/21/2021,06/21/2043,-351000,305370,4.08,2700,90+ Days Delinquent,Commercial,UT,87,771,43279
LN-100055,Elizabeth Taylor,05/15/2023,05/15/2046,799000,655180,4.59,4309,Current,Commercial,MA,71,789,83327
LN-100056,Charles Martin,10/22/2021,10/22/2044,205000,137350,5.01,1282,30 Days Delinquent,Condo,NC,85,754,85194
LN-100057,Joseph Smith,12/05/2022,12/05/2017,631000,485870,7.02,2405,Paid Off,Commercial,NJ,77,626,64622
LN-100008,Sandra Miller,02/17/2023,02/17/2042,168000,164640,6.6,4365,Current,Commercial,WA,90,620,67685
,Margaret Gonzalez,10/11/2019,10/11/2036,815000,782400,7.05,4148,Current,Condo,IN,64,735,30424
LN-100060,David Anderson,09/19/2023,09/19/2042,677000,622840,7.72,2956,90+ Days Delinquent,Townhouse,WA,70,625,68455
LN-100061,Sarah Anderson,05/18/2018,05/18/2034,438000,398580,5.95,3386,30 Days Delinquent,Single Family,OK,91,666,91035
LN-100062,Karen White,08/02/2022,08/02/2048,780000,702000,7.33,1749,60 Days Delinquent,Townhouse,NJ,78,778,20357
LN-100025,James Ramirez,01/18/2022,01/18/2042,616000,449680,3.65,3969,Paid Off,Condo,VA,65,693,99667
LN-100064,Anthony Smith,01/07/2022,01/07/2051,479000,316140,4.41,1892,60 Days Delinquent,Multi Family,KY,93,668,48601
LN-100065,Emily Robinson,06/03/2022,06/03/2017,286000,223080,4.85,3225,60 Days Delinquent,Single Family,WA,84,807,24882
LN-100066,Linda Johnson,01/15/2019,01/15/2043,537000,359790,-5.6,4247,60 Days Delinquent,Single Family,VA,82,813,83206
,Matthew White,08/17/2022,08/17/2046,610000,506300,3.9,1730,Current,Multi Family,CO,71,667,93646
LN-100068,Michelle Wilson,04/25/2018,04/25/2047,641000,538440,6.53,1563,60 Days Delinquent,Townhouse,WI,80,733,75934
LN-100069,Thomas Harris,07/24/2023,07/24/2041,187000,114070,5.54,1604,90+ Days Delinquent,Condo,FL,63,778,27673
,Michael Martin,01/05/2021,01/05/2040,810000,526500,6.67,3774,Current,Condo,AL,64,682,89137
LN-100071,Steven Garcia,04/01/2022,04/01/2044,292000,265720,3.82,3824,30 Days Delinquent,Multi Family,GA,80,675,46644
LN-100072,Mary Gonzalez,05/20/2020,05/20/2039,359000,258480,5.23,3375,90+ Days Delinquent,Single Family,OK,63,690,82361
LN-100073,,02/10/2019,02/10/2046,656000,439520,7.34,3937,Paid Off,Condo,MO,72,705,70189
LN-100074,Daniel Smith,04/08/2021,04/08/2037,700000,441000,3.86,2114,Paid Off,Commercial,MA,85,744,68583
LN-100075,Steven Perez,05/26/2023,05/26/2050,446000,347880,6.13,2001,30 Days Delinquent,Multi Family,NC,76,630,64052
LN-100076,Thomas Brown,11/22/2022,11/22/2050,-491000,427170,4.24,3818,90+ Days Delinquent,Townhouse,MA,91,794,28341
,Charles Gonzalez,06/01/2019,06/01/2049,383000,314060,4.72,2848,Paid Off,Multi Family,NY,65,654,99270
LN-100078,Daniel Thomas,07/10/2022,07/10/2043,-393000,294750,3.38,2766,Default,Commercial,LA,70,679,11681
LN-100079,Lisa Ramirez,03/08/2019,03/08/2035,566000,441480,35.41,4279,Current,Single Family,PA,62,716,73307
LN-100028,Michael Garcia,04/22/2019,04/22/2038,312000,287040,6.73,2640,Current,Commercial,WA,60,688,88949
LN-100081,Michael Lewis,05/18/2021,05/18/2040,798000,758100,7.65,1485,60 Days Delinquent,Single Family,KY,65,742,67265
LN-100082,Joshua Miller,10/07/2018,10/07/2047,633000,493740,7.09,2529,Default,Townhouse,SC,79,756,77991
,David Thomas,05/17/2019,05/17/2042,450000,409500,7.08,3949,60 Days Delinquent,Commercial,TX,78,780,57197
LN-100084,Donna Martin,11/24/2021,11/24/2046,455000,327600,6.47,1748,30 Days Delinquent,Condo,MO,88,647,82940
LN-100085,Robert Hernandez,12/13/2018,12/13/2045,367000,253230,7.16,2188,Current,Condo,WA,80,797,85399
LN-100086,Elizabeth Harris,03/16/2018,03/16/2035,583000,402270,5.86,3018,Default,Single Family,AZ,63,820,78673
LN-100087,Richard Rodriguez,04/17/2022,04/17/2039,-514000,436900,3.83,1455,Default,Multi Family,MD,89,795,12938
LN-100088,Matthew Rodriguez,03/16/2022,03/16/2048,692000,422120,34.4,1772,Default,Townhouse,SC,60,646,14550
LN-100089,Nancy Jackson,10/06/2022,10/06/2047,762000,685800,32.74,3966,60 Days Delinquent,Multi Family,FL,95,682,26243
LN-100090,,12/28/2023,12/28/2042,490000,308700,6.97,2246,Current,Single Family,AL,92,707,19889
,John White,05/05/2021,05/05/2040,636000,451560,3.83,1326,90+ Days Delinquent,Townhouse,MO,93,652,68746
LN-100092,Daniel Thomas,01/03/2019,01/03/2014,379000,325940,5.71,3552,Paid Off,Townhouse,NC,86,747,57535
LN-100093,Thomas Miller,10/10/2019,10/10/2036,336000,218400,-3.61,1672,Paid Off,Townhouse,NJ,61,722,32875
LN-100094,Barbara Jones,01/28/2023,01/28/2042,-404000,323200,5.58,3564,90+ Days Delinquent,Single Family,OR,90,817,72565
LN-100095,Nancy Lewis,11/18/2022,11/18/2040,589000,559550,6.07,1459,Paid Off,Single Family,OK,89,631,97345
LN-100096,Nancy Ramirez,04/10/2023,04/10/2043,759000,531300,7.72,1291,30 Days Delinquent,Multi Family,UT,76,781,40315
LN-100097,,06/18/2023,06/18/2046,659000,474480,4.82,4490,30 Days Delinquent,Condo,NY,71,771,33973
LN-100098,Steven Lee,05/18/2021,05/18/2048,354000,311520,6.53,4322,30 Days Delinquent,Condo,OR,56,781,63896
LN-100099,Barbara Sanchez,09/02/2019,09/02/2047,249000,161850,7.02,2613,60 Days Delinquent,Townhouse,MI,65,719,48483
LN-100100,Robert Smith,03/17/2022,03/17/2046,221000,172380,6.86,4079,Current,Commercial,MD,87,638,89324
LN-100101,Joseph Robinson,01/20/2022,01/20/2017,804000,731640,5.14,3074,60 Days Delinquent,Commercial,PA,82,695,33320
LN-100102,Anthony Lopez,01/07/2019,01/07/2039,-576000,403200,4.11,2082,Default,Townhouse,TN,63,785,43127
LN-100103,Karen Clark,08/11/2018,08/11/2038,264000,184800,4.9,1277,90+ Days Delinquent,Single Family,VA,93,770,16479
LN-100104,Christopher Moore,02/28/2023,02/28/2050,360000,342000,6.22,3186,60 Days Delinquent,Single Family,AZ,93,757,41436
LN-100105,Jennifer Williams,08/04/2019,08/04/2036,369000,228780,7.4,2408,30 Days Delinquent,Multi Family,NJ,85,794,53055
LN-100106,,09/05/2022,09/05/2042,230000,204700,6.5,4326,90+ Days Delinquent,Townhouse,KY,79,624,29534
LN-100107,,03/14/2020,03/14/2043,246000,150060,5.54,2068,Default,Multi Family,UT,87,622,42818
LN-100054,David Clark,01/14/2020,01/14/2036,260000,215800,4.44,3463,Current,Condo,LA,85,627,20789
LN-100072,Joseph Lee,01/24/2019,01/24/2042,778000,754660,4.52,1558,Current,Single Family,LA,58,749,54355
LN-100110,Michelle Anderson,10/17/2018,10/17/2039,-286000,208780,5.75,4031,Current,Multi Family,IL,92,732,77492
LN-100111,David Taylor,12/27/2021,12/27/2051,390000,315900,5.92,3629,Current,Multi Family,CO,59,773,17918
LN-100112,Kimberly Ramirez,01/23/2018,01/23/2040,-339000,247470,7.68,3176,30 Days Delinquent,Multi Family,TN,77,662,91077
LN-100113,Michelle Jones,01/24/2021,01/24/2036,469000,342370,4.37,2492,Current,Townhouse,MO,89,642,13909
LN-100114,Christopher Brown,05/21/2021,05/21/2051,848000,814080,4.19,2484,Default,Single Family,MI,64,780,36423
LN-100115,Richard Thompson,11/17/2018,11/17/2047,811000,746120,4.3,2453,30 Days Delinquent,Multi Family,texas,95,630,19914
LN-100116,Charles Smith,05/15/2023,05/15/2039,-679000,495670,5.27,3649,Paid Off,Multi Family,PA,84,780,42655
LN-100117,Karen Jackson,05/11/2021,05/11/2051,754000,663520,7.2,2812,30 Days Delinquent,Condo,MA,55,789,81104
LN-100118,Barbara Lee,07/02/2020,07/02/2048,167000,148630,3.4,1737,Current,Townhouse,NY,83,756,25897
LN-100119,Jessica Garcia,07/17/2020,07/17/2046,224000,183680,6.76,1371,30 Days Delinquent,Townhouse,MN,59,684,39418
LN-100098,David Rodriguez,08/06/2019,08/06/2044,416000,366080,6.44,2617,Default,Multi Family,UT,58,625,85493
LN-100121,Paul Jones,03/06/2022,03/06/2052,480000,307200,7.23,2102,Current,Condo,NY,74,669,36237
LN-100122,Kimberly Rodriguez,12/21/2020,12/21/2015,464000,426880,5.6,3233,Paid Off,Multi Family,NC,88,631,85220
LN-100123,Richard Martinez,05/11/2018,05/11/2043,787000,771260,6.12,3863,Paid Off,Single Family,LA,94,742,38173
,Steven Martinez,02/28/2018,02/28/2041,553000,337330,6.57,4154,60 Days Delinquent,Commercial,OK,91,730,63074
LN-100125,Ashley Robinson,09/18/2020,09/18/2050,550000,341000,3.59,1974,90+ Days Delinquent,Commercial,AZ,94,766,54045
LN-100126,Donna Brown,01/17/2023,01/17/2042,398000,294520,6,1737,Paid Off,Single Family,MA,82,782,52497
LN-100127,Robert Perez,10/12/2019,10/12/2036,433000,264130,6.13,1383,30 Days Delinquent,Multi Family,NJ,95,669,21614
LN-100128,Elizabeth Clark,11/07/2019,11/07/2042,655000,406100,7.46,1541,60 Days Delinquent,Single Family,CO,90,766,55200
LN-100129,Robert Harris,12/13/2022,12/13/2048,807000,677880,4.73,1909,90+ Days Delinquent,Multi Family,XX,65,738,92024
LN-100130,Jessica Martin,03/08/2023,03/08/2041,524000,340600,4.87,2849,90+ Days Delinquent,Commercial,TN,86,665,19479
,Joshua Jones,06/11/2019,06/11/2039,554000,421040,3.86,2209,30 Days Delinquent,Townhouse,OK,86,815,20079
LN-100132,Sarah Rodriguez,04/06/2022,04/06/2042,-302000,217440,7.4,1302,Default,Single Family,NY,74,677,10318
LN-100133,Lisa Thomas,04/12/2023,04/12/2050,683000,573720,3.92,1992,60 Days Delinquent,Commercial,KY,64,737,47578
LN-100047,David Perez,04/07/2020,04/07/2041,570000,416100,7.16,2398,90+ Days Delinquent,Condo,CO,59,723,62872
LN-100135,Kimberly Martinez,07/11/2023,07/11/2042,179000,125300,-4.71,4170,90+ Days Delinquent,Commercial,IN,89,703,50184
LN-100136,Susan Thompson,12/07/2022,12/07/2045,166000,161020,3.56,3309,90+ Days Delinquent,Commercial,GA,64,819,21426
LN-100137,Matthew Lewis,03/12/2020,03/12/2046,203000,172550,4.27,2204,Paid Off,Townhouse,TN,60,702,69740
,Lisa Thompson,06/27/2022,06/27/2041,683000,566890,6.86,3674,30 Days Delinquent,Townhouse,TN,59,620,53666
LN-100139,Barbara Johnson,06/14/2023,06/14/2053,705000,479400,6.46,1501,Default,Condo,OH,64,707,99860
LN-100140,Mark Martin,04/23/2018,04/23/2039,622000,559800,47.62,1515,90+ Days Delinquent,Single Family,SC,67,767,71527
LN-100089,Richard Taylor,01/05/2019,01/05/2039,690000,641700,6.63,3940,60 Days Delinquent,Townhouse,KY,83,658,90819
,Andrew Gonzalez,10/06/2018,10/06/2038,609000,408030,4.48,1454,Default,Townhouse,GA,95,711,36685
,Paul Gonzalez,10/15/2019,10/15/2045,815000,619400,3.71,3983,60 Days Delinquent,Single Family,NJ,61,660,99807
LN-100144,William Moore,12/02/2018,12/02/2044,412000,362560,29.21,2729,Current,Townhouse,MN,84,754,67854
,Mark Jones,06/05/2018,06/05/2040,247000,227240,3.34,3045,30 Days Delinquent,Single Family,NJ,71,788,33734
,Paul Davis,08/04/2018,08/04/2046,346000,318320,5.1,2591,Default,Multi Family,GA,65,667,36551
LN-100147,Paul Rodriguez,12/01/2019,12/01/2045,623000,510860,41.35,1676,Default,Commercial,UT,77,738,21443
LN-100148,Lisa Perez,09/20/2018,09/20/2038,416000,266240,6.88,3145,Paid Off,Commercial,FL,65,750,58233
,Barbara Gonzalez,12/14/2023,12/14/2039,766000,727700,6.76,3972,Default,Townhouse,SC,86,673,59932
LN-100150,Steven Taylor,01/09/2018,01/09/2039,-280000,254800,6.04,3761,30 Days Delinquent,Commercial,KY,55,791,46211
,Betty Wilson,06/07/2022,06/07/2043,383000,356190,5.55,1628,Paid Off,Multi Family,GA,89,806,91038
LN-100152,James Harris,01/28/2020,01/28/2042,675000,627750,3.43,1975,90+ Days Delinquent,Townhouse,VA,78,641,22707
LN-100036,Charles Clark,10/04/2018,10/04/2040,516000,428280,6.31,4059,60 Days Delinquent,Townhouse,OK,58,694,47382
LN-100154,Lisa Gonzalez,03/23/2019,03/23/2040,450000,301500,4.75,3974,60 Days Delinquent,Commercial,KY,93,783,71204
LN-100028,Andrew Garcia,08/25/2021,08/25/2050,773000,587480,6.03,3356,90+ Days Delinquent,Townhouse,VA,83,624,20333
LN-100156,Betty Perez,01/25/2020,01/25/2046,652000,599840,6.67,3648,Default,Multi Family,IN,76,677,68633
LN-100157,Jennifer Gonzalez,02/16/2022,02/16/2048,580000,388600,-4.28,1378,30 Days Delinquent,Condo,WI,80,627,40810
LN-100158,Betty Taylor,05/07/2018,05/07/2035,526000,468140,7.11,3024,90+ Days Delinquent,Townhouse,OK,92,702,35399
LN-100159,Emily Smith,05/22/2021,05/22/2040,431000,362040,5.61,1864,60 Days Delinquent,Townhouse,KY,85,731,64142
LN-100160,Paul Thomas,12/20/2019,12/20/2035,762000,723900,5.63,3529,Default,Single Family,SC,79,788,33643
,Mark Johnson,08/19/2019,08/19/2045,400000,372000,6.44,1536,Paid Off,Single Family,CO,81,653,27829
LN-100162,Michelle Hernandez,01/16/2020,01/16/2049,832000,532480,-6.98,1416,30 Days Delinquent,Single Family,IL,68,767,66897
LN-100163,Donald Garcia,09/01/2023,09/01/2045,314000,307720,7.52,4376,Paid Off,Commercial,GA,58,666,15279
LN-100164,William Moore,12/24/2018,12/24/2034,538000,387360,34.71,3935,30 Days Delinquent,Townhouse,UT,62,812,78506
LN-100165,Mary Moore,09/21/2019,09/21/2037,-424000,262880,4.33,1246,Default,Condo,TN,88,730,48251
LN-100166,,09/26/2019,09/26/2048,476000,456960,5.11,4469,Current,Townhouse,IL,89,738,85432
LN-100167,Sandra Martin,03/21/2018,03/21/2047,533000,362440,6.22,2497,30 Days Delinquent,Condo,OR,67,736,56850
LN-100028,Joseph Johnson,06/05/2021,06/05/2049,758000,530600,3.39,3625,Default,Townhouse,CO,62,819,92941
LN-100169,Patricia Thomas,11/12/2023,11/12/2038,306000,287640,5.29,2808,Paid Off,Condo,WA,84,657,75608
LN-100170,Kimberly Lewis,07/27/2019,07/27/2036,165000,160050,4.43,3139,Current,Single Family,LA,63,660,58301
LN-100171,Paul Clark,08/26/2020,08/26/2037,451000,320210,6.26,2130,60 Days Delinquent,Single Family,PA,87,700,38717
LN-100172,Joshua Clark,05/26/2019,05/26/2034,-749000,629160,4.59,1554,30 Days Delinquent,Commercial,MI,69,663,99095
LN-100173,John Gonzalez,04/09/2021,04/09/2049,306000,281520,6.25,3398,30 Days Delinquent,Condo,NY,90,633,87543
LN-100174,Christopher Lopez,09/12/2020,09/12/2035,306000,217260,7.44,4198,Paid Off,Commercial,XX,85,729,33269
LN-100175,Joseph White,04/03/2023,04/03/2041,256000,179200,6.02,3243,Default,Townhouse,MN,90,654,86182
,Thomas Moore,06/26/2022,06/26/2039,508000,304800,4.03,2184,30 Days Delinquent,Townhouse,NJ,85,767,19282
LN-100177,Charles Ramirez,12/03/2021,12/03/2051,824000,667440,34.52,3667,Current,Multi Family,GA,87,710,72180
LN-100178,Karen Martinez,10/22/2021,10/22/2041,237000,149310,7.14,4013,Paid Off,Multi Family,newyork,85,777,37312
LN-100179,Christopher Robinson,11/23/2023,11/23/2018,792000,712800,3.57,1292,60 Days Delinquent,Single Family,CT,85,749,90378
LN-100180,Margaret Martinez,01/27/2018,01/27/2037,830000,664000,6.61,3826,Paid Off,Multi Family,LA,66,683,77400
LN-100079,Charles Brown,08/11/2023,08/11/2051,838000,553080,5.1,4331,Default,Condo,SC,58,635,30905
LN-100182,Matthew Moore,01/25/2023,01/25/2038,-699000,552210,7.66,2429,Default,Townhouse,KY,94,736,26432
,Donald Taylor,05/14/2019,05/14/2037,523000,428860,7.32,4132,Current,Townhouse,SC,64,633,86057
LN-100184,Michael Moore,01/25/2018,01/25/2035,741000,652080,43.93,3469,60 Days Delinquent,Commercial,AZ,80,698,58969
LN-100185,,05/11/2021,05/11/2036,310000,294500,4.1,4150,Current,Single Family,WA,95,720,56182
LN-100186,David Robinson,04/23/2019,04/23/2034,181000,121270,4.1,3913,60 Days Delinquent,Commercial,GA,59,660,82847
LN-100187,Betty Davis,08/05/2020,08/05/2049,403000,358670,4.78,4223,Current,Single Family,MN,61,752,94734
LN-100188,,11/08/2019,11/08/2035,654000,634380,3.56,2844,90+ Days Delinquent,Multi Family,CT,56,791,34921
LN-100189,Barbara Miller,11/15/2022,11/15/2044,550000,451000,-7.54,4170,60 Days Delinquent,Townhouse,NJ,76,795,91178
LN-100190,Joshua Davis,07/01/2018,07/01/2044,698000,460680,45.15,1557,60 Days Delinquent,Commercial,CO,80,650,99354
LN-100191,Daniel Smith,09/04/2023,09/04/2042,236000,151040,5.47,4440,90+ Days Delinquent,Commercial,VA,93,644,68819
LN-100192,Charles Miller,05/16/2018,05/16/2047,660000,633600,5.13,3857,90+ Days Delinquent,Townhouse,CO,62,640,91277
LN-100193,Andrew Thomas,04/06/2021,04/06/2051,-430000,417100,4.53,3697,30 Days Delinquent,Townhouse,AZ,87,642,49661
LN-100194,,07/15/2018,07/15/2042,738000,642060,3.29,1478,30 Days Delinquent,Townhouse,MD,82,636,62305
LN-100195,Nancy Jones,11/24/2023,11/24/2045,810000,607500,3.37,3567,90+ Days Delinquent,Condo,GA,90,802,31033
LN-100014,Anthony Smith,03/15/2023,03/15/2049,489000,479220,7.2,1955,30 Days Delinquent,Multi Family,NJ,57,793,84177
LN-100197,David Ramirez,07/01/2020,07/01/2035,734000,675280,5.15,4167,Default,Condo,GA,84,812,88686
LN-100198,Michael Lewis,09/14/2020,09/14/2049,829000,787550,4.7,4081,Current,Townhouse,CO,68,645,93463
,Margaret Anderson,02/14/2022,02/14/2040,771000,539700,3.82,2405,Default,Multi Family,AL,85,783,59244
LN-100200,Richard Anderson,09/08/2021,09/08/2050,208000,158080,5.92,1695,Current,Single Family,FL,89,695,90208
LN-100201,Emily Hernandez,09/12/2019,09/12/2040,289000,193630,6,2036,Paid Off,Commercial,CO,91,696,17563
LN-100202,Steven Harris,11/21/2022,11/21/2052,676000,567840,4.45,3628,Default,Multi Family,SC,94,718,47322
LN-100203,Lisa White,12/07/2021,12/07/2045,397000,329510,7.33,1441,Paid Off,Commercial,fl,91,696,76178
LN-100204,Joseph Smith,08/25/2019,08/25/2045,488000,336720,3.88,1354,30 Days Delinquent,Multi Family,CT,57,768,53062
,Donna Taylor,12/25/2023,12/25/2039,684000,417240,5.43,2907,Default,Townhouse,MO,73,641,81936
,Jessica Jackson,05/13/2019,05/13/2039,521000,427220,6.75,3287,Paid Off,Condo,IN,76,659,99492
LN-100207,Barbara Smith,12/06/2021,12/06/2040,492000,369000,7.26,2292,Paid Off,Commercial,WA,65,726,10235
LN-100208,Paul Anderson,04/19/2021,04/19/2042,779000,685520,3.94,2460,90+ Days Delinquent,Single Family,MA,85,794,87914
LN-100209,Andrew White,09/25/2021,09/25/2051,-174000,114840,5.77,2532,90+ Days Delinquent,Condo,WA,78,672,32412
LN-100210,Linda Martinez,10/04/2023,10/04/2046,693000,651420,-5.17,4003,Default,Single Family,MN,90,679,84079
LN-100211,Patricia Harris,06/22/2022,06/22/2043,546000,442260,6.06,4262,60 Days Delinquent,Multi Family,CT,59,777,90304
LN-100212,Daniel White,07/01/2023,07/01/2045,-356000,313280,5.25,1352,90+ Days Delinquent,Commercial,LA,85,699,16694
LN-100213,Christopher Brown,05/02/2020,05/02/2035,-627000,564300,5.39,2682,90+ Days Delinquent,Multi Family,VA,89,743,30791
LN-100214,Sarah Taylor,08/22/2019,08/22/2038,813000,658530,47.22,1244,60 Days Delinquent,Multi Family,MD,69,726,74786
LN-100215,Mark Williams,01/01/2022,01/01/2051,170000,147900,6.4,2583,30 Days Delinquent,Multi Family,OR,69,680,69341
LN-100216,Donald Jackson,10/20/2021,10/20/2042,321000,231120,4.64,1594,30 Days Delinquent,Single Family,OH,88,730,68736
LN-100217,Andrew Davis,10/07/2022,10/07/2048,513000,312930,6.34,2959,Paid Off,Townhouse,UT,74,653,52528
LN-100218,Margaret White,01/14/2023,01/14/2052,666000,499500,4.95,3954,Paid Off,Multi Family,CO,58,792,71548
LN-100219,Christopher Smith,07/12/2019,07/12/2038,497000,377720,6.36,2259,Current,Commercial,AZ,88,714,36331
