loan_id,borrower_name,origination_date,maturity_date,principal_balance,current_balance,interest_rate,monthly_payment,loan_status,property_type,property_state,ltv_ratio,credit_score,zip_code
LN-100140,Joseph Johnson,09/05/2018,09/05/2035,754000,482560,5.48,2656,60 Days Delinquent,Commercial,FL,82,766,38857
LN-100141,Donald Taylor,05/04/2022,05/04/2050,398000,370140,3.41,2612,60 Days Delinquent,Townhouse,AZ,94,747,93787
LN-100142,Paul Taylor,09/27/2018,09/27/2047,298000,259260,5.36,1703,90+ Days Delinquent,Multi Family,KY,59,743,44458
LN-100143,Mark White,04/11/2023,04/11/2049,201000,162810,7.67,2674,30 Days Delinquent,Single Family,UT,92,747,93042
LN-100144,Steven Wilson,09/27/2023,09/27/2043,-558000,535680,3.32,3898,60 Days Delinquent,Commercial,IN,56,760,52161
LN-100145,Barbara Ramirez,12/21/2023,12/21/2048,295000,218300,6.28,2195,Default,Multi Family,XX,74,704,94662
LN-100146,Michelle Moore,12/10/2022,12/10/2042,602000,469560,-4.37,1722,60 Days Delinquent,Single Family,FL,62,658,66420
LN-100147,William Garcia,11/18/2018,11/18/2044,259000,160580,-3.59,2497,Paid Off,Commercial,OR,71,702,84884
,Joshua Sanchez,02/18/2018,02/18/2034,799000,775030,6.53,4034,60 Days Delinquent,Multi Family,MN,89,628,85952
LN-100149,Elizabeth Ramirez,04/10/2018,04/10/2042,530000,466400,6.96,1527,Current,Townhouse,MA,62,712,93763
LN-100150,Kimberly Moore,07/15/2021,07/15/2016,638000,452980,3.29,1205,30 Days Delinquent,Condo,NJ,77,786,83711
LN-100151,Steven Martin,11/09/2020,11/09/2047,165000,123750,6.29,1749,Current,Multi Family,CO,72,752,28167
LN-100152,Susan Thomas,03/10/2022,03/10/2040,-727000,596140,7.5,1998,60 Days Delinquent,Single Family,NC,92,621,38391
LN-100153,Lisa Clark,05/25/2019,05/25/2038,303000,293910,6.9,2306,60 Days Delinquent,Commercial,NJ,84,634,82683
LN-100154,Richard Lee,07/18/2022,07/18/2038,486000,456840,-6.17,3446,Default,Single Family,LA,58,813,26797
LN-100155,Paul Ramirez,05/08/2020,05/08/2045,673000,578780,6.61,3096,Default,Multi Family,TX,85,787,32699
LN-100156,Margaret Smith,03/18/2018,03/18/2034,406000,304500,-6.8,1480,Paid Off,Single Family,MN,74,660,29437
LN-100157,Steven Martin,01/03/2023,01/03/2018,280000,179200,6.04,3920,60 Days Delinquent,Condo,FL,78,645,91245
LN-100158,Mary Davis,01/15/2020,01/15/2042,602000,379260,5.14,3935,30 Days Delinquent,Multi Family,WA,87,663,24193
LN-100159,,11/16/2019,11/16/2042,669000,582030,6.12,1781,Default,Condo,CT,78,792,75684
,Linda Wilson,12/11/2021,12/11/2043,382000,317060,4.74,4435,Default,Commercial,NJ,77,792,67566
LN-100161,Susan White,04/28/2021,04/28/2042,-245000,161700,6.87,3001,Current,Multi Family,IN,64,649,75887
LN-100162,Linda Johnson,07/09/2018,07/09/2043,341000,265980,5.46,2186,Current,Commercial,texas,91,717,52281
LN-100163,Joseph Hernandez,03/28/2022,03/28/2042,178000,119260,5.01,3790,90+ Days Delinquent,Single Family,NC,60,649,58141
LN-100164,Patricia Hernandez,12/15/2022,12/15/2039,-286000,274560,6.78,3873,Current,Commercial,FL,57,709,85774
,Betty Hernandez,06/12/2022,06/12/2049,228000,205200,6.85,3382,90+ Days Delinquent,Multi Family,MO,71,637,87086
LN-100166,Mark Johnson,02/15/2021,02/15/2038,232000,187920,5.76,2452,Default,Multi Family,NC,89,807,11657
,James Jones,11/26/2019,11/26/2043,777000,512820,4.99,4363,60 Days Delinquent,Commercial,FL,66,738,70791
LN-100168,Mary Jones,07/14/2022,07/14/2051,832000,732160,3.83,1722,60 Days Delinquent,Single Family,MD,62,687,34074
LN-100169,Emily Thomas,07/22/2021,07/22/2042,803000,570130,7.48,2928,30 Days Delinquent,Multi Family,MA,95,729,31752
LN-100170,Patricia Garcia,12/14/2021,12/14/2038,589000,418190,4.54,3052,90+ Days Delinquent,Single Family,AL,55,777,56670
LN-100171,Barbara Jones,04/13/2022,04/13/2037,741000,533520,5.34,1958,90+ Days Delinquent,Condo,AZ,81,797,58267
LN-100172,Mark Clark,02/05/2020,02/05/2015,751000,615820,5.58,1629,60 Days Delinquent,Single Family,AL,84,662,93617
LN-100173,Daniel Smith,11/03/2018,11/03/2035,261000,182700,6.28,1653,Paid Off,Multi Family,TN,87,816,23408
LN-100174,Sandra Thompson,11/28/2020,11/28/2044,223000,189550,4.21,1536,Paid Off,Single Family,IL,73,696,92126
LN-100175,Margaret Martinez,02/12/2022,02/12/2037,549000,433710,3.27,2354,90+ Days Delinquent,Commercial,texas,90,664,45014
LN-100176,Karen Taylor,05/09/2019,05/09/2036,199000,189050,3.54,2904,60 Days Delinquent,Condo,CA,67,793,41735
LN-100177,Andrew Brown,09/09/2023,09/09/2018,351000,238680,5.38,2951,90+ Days Delinquent,Multi Family,KY,90,785,53859
LN-100178,Anthony Sanchez,11/23/2019,11/23/2046,-770000,677600,6.19,2995,60 Days Delinquent,Commercial,CA,79,670,22396
LN-100179,Patricia Clark,04/08/2020,04/08/2049,702000,659880,6.24,2233,Default,Condo,OK,66,810,86483
LN-100180,Betty Harris,06/09/2020,06/09/2036,266000,178220,38.21,3367,Default,Commercial,AL,78,635,61480
LN-100181,Donald Thompson,12/25/2019,12/25/2036,692000,581280,5.6,3855,60 Days Delinquent,Commercial,AZ,68,684,63113
LN-100182,Elizabeth Clark,02/16/2020,02/16/2045,179000,164680,4.87,2256,60 Days Delinquent,Commercial,WI,56,689,47479
LN-100183,Mary Gonzalez,07/14/2023,07/14/2050,340000,204000,5.51,3626,Paid Off,Condo,AZ,84,698,46194
LN-100184,Anthony Johnson,07/19/2023,07/19/2018,258000,188340,5.09,3390,30 Days Delinquent,Single Family,OK,86,795,54878
LN-100185,Michelle Martinez,02/28/2023,02/28/2042,265000,246450,3.93,1608,Current,Single Family,MD,82,648,68093
LN-100186,Donald Anderson,08/26/2023,08/26/2038,353000,271810,39.74,3474,90+ Days Delinquent,Townhouse,TN,75,698,97750
LN-100187,,03/03/2018,03/03/2036,274000,186320,5.46,1688,30 Days Delinquent,Commercial,IN,78,652,13075
,Margaret Johnson,11/28/2021,11/28/2038,640000,614400,5.24,4389,Paid Off,Condo,MI,70,673,89984
LN-100189,Joshua Johnson,07/19/2023,07/19/2047,679000,420980,3.34,4359,60 Days Delinquent,Townhouse,MO,71,732,51842
,Lisa Garcia,08/23/2019,08/23/2041,413000,400610,5.72,2681,30 Days Delinquent,Single Family,UT,55,651,76921
LN-100191,Margaret Martin,09/19/2018,09/19/2044,-837000,502200,5.36,3784,Current,Single Family,UT,63,712,35288
LN-100192,Ashley Robinson,08/09/2023,08/09/2043,688000,516000,5.35,3150,90+ Days Delinquent,Single Family,TN,88,689,54475
,Michelle Williams,04/16/2022,04/16/2046,816000,514080,3.87,2200,Current,Commercial,NC,63,721,46320
LN-100194,Mark Anderson,01/24/2020,01/24/2046,206000,181280,-5,3970,Paid Off,Single Family,MN,95,727,58171
LN-100195,Nancy White,02/02/2023,02/02/2043,332000,225760,3.52,3801,Default,Commercial,NJ,75,634,90233
LN-100196,Betty Ramirez,02/09/2022,02/09/2043,403000,265980,6.56,1471,30 Days Delinquent,Commercial,CO,66,649,36578
LN-100197,Matthew Sanchez,01/14/2019,01/14/2036,753000,489450,-4.55,4393,Default,Single Family,MN,63,756,53962
LN-100198,Anthony Wilson,03/20/2018,03/20/2042,550000,511500,-5.37,4396,Current,Commercial,AL,79,705,35468
LN-100199,Charles Brown,03/13/2022,03/13/2037,779000,467400,6.27,1248,30 Days Delinquent,Townhouse,GA,55,783,37978
,Sarah Perez,01/10/2021,01/10/2046,734000,535820,5.03,2237,Default,Multi Family,MO,89,699,57070
LN-100201,Lisa Garcia,01/13/2018,01/13/2033,228000,168720,4.72,4136,90+ Days Delinquent,Single Family,AZ,62,655,57779
LN-100202,Lisa Lewis,04/13/2021,04/13/2049,178000,122820,-6.96,4300,30 Days Delinquent,Townhouse,MA,83,761,94659
LN-100203,Nancy Brown,03/18/2019,03/18/2043,648000,408240,5.82,1721,Default,Townhouse,NJ,68,699,12238
LN-100204,John White,02/26/2021,02/26/2046,286000,268840,5.26,1751,60 Days Delinquent,Commercial,AL,92,797,75243
LN-100205,Andrew Martinez,03/20/2023,03/20/2050,240000,194400,5.81,2408,90+ Days Delinquent,Single Family,PA,61,680,39508
LN-100206,Michael Gonzalez,12/03/2022,12/03/2041,-479000,325720,6.88,4409,30 Days Delinquent,Commercial,AZ,93,804,63345
LN-100207,Michael Brown,02/27/2019,02/27/2041,761000,707730,41.55,2885,Paid Off,Multi Family,CO,68,721,32424
LN-100208,,09/06/2020,09/06/2047,370000,251600,6.1,2979,Default,Commercial,GA,92,706,49017
LN-100209,Thomas Rodriguez,04/11/2019,04/11/2036,261000,167040,-5.89,4091,Current,Multi Family,MO,73,690,86282
LN-100210,Anthony Williams,06/20/2020,06/20/2045,607000,473460,5.89,3754,90+ Days Delinquent,Commercial,MN,59,814,80810
LN-100211,,12/19/2020,12/19/2045,276000,201480,4.78,2473,Current,Single Family,NY,75,780,32977
LN-100212,Lisa Smith,09/21/2023,09/21/2040,237000,215670,30.11,2051,60 Days Delinquent,Townhouse,WA,72,789,83333
LN-100213,Joshua Davis,11/16/2019,11/16/2034,179000,127090,34.5,4287,30 Days Delinquent,Condo,IN,95,700,55038
LN-100214,Karen Lopez,02/12/2018,02/12/2045,428000,368080,7.15,2113,30 Days Delinquent,Townhouse,AZ,83,723,26063
LN-100215,Betty Williams,03/16/2019,03/16/2047,258000,159960,3.36,2710,60 Days Delinquent,Townhouse,VA,62,636,39458
LN-100216,Susan Taylor,08/19/2018,08/19/2013,734000,506460,5.35,3163,Current,Multi Family,MA,88,708,94537
LN-100217,Michael Miller,02/08/2022,02/08/2041,491000,333880,5.43,3057,30 Days Delinquent,Townhouse,MA,72,762,85218
LN-100218,Donna Lopez,05/05/2018,05/05/2038,700000,539000,4.07,3049,60 Days Delinquent,Condo,OK,83,804,65828
LN-100219,Christopher Anderson,12/02/2022,12/02/2047,364000,302120,-7.16,3813,30 Days Delinquent,Commercial,TN,95,789,79402
